X,Y,Depth,Elevation
469254.2399,4741828.696,20,485.997711
474580.0028,4737941.959,12,518.436157
477516.0105,4739628.294,12,489.082428
476571.337,4735652.306,10,422.76181
476879.7178,4736129.378,13,411.827026
476982.9133,4753375.218,50,463.433594
479804.7671,4753347.827,56,389.146271
478657.2868,4748786.004,132,446.056396
491092.972,4732687.967,35,495.133942
486253.7973,4734287.531,30,395.571686
483710.1547,4735132.066,5,511.628845
489854.74,4730117.169,72,465.975739
488135.8356,4731693.02,133,515.024536
484127.2072,4727718.923,75,380.943115
483601.2711,4723707.186,184,533.419189
488065.089,4731541.999,57,499.914764
477384.8243,4703496.669,48,410.223877
470411.3014,4701073.722,25,418.160339
470253.78,4703230.422,7,504.238708
473895.8955,4705809.857,14,456.400269
471832.339,4707409.478,197,497.834076
478962.5479,4704306.019,20,410.473907
478374.1649,4700069.824,15,548.180725
480482.4135,4700884.063,75,571.812744
520895.2081,4737892.834,43,434.614136
521792.3273,4735801.173,33,506.848175
521906.7397,4735551.684,28,513.584961
522047.6092,4736270.841,28,525.046936
522221.1529,4736006.123,140,524.018005
505478.2909,4733637.52,5,540.680115
523558.3827,4720319.431,28,640.255554
523939.2951,4723451.528,27,590.406677
475777.0691,4725580.848,151,482.283569
480437.5055,4731090.529,135,443.871948
482819.2063,4729612.869,36,464.628723
480351.7506,4724110.459,1,456.017914
483420.4547,4735629.371,58,507.338654
477411.9212,4723746.193,24,368.12738
476243.3235,4726825.389,60,490.566193
479039.7042,4727562.814,10,451.391449
479399.8885,4728567.294,47,409.635986
490567.2006,4738888.628,3,554.244141
498044.5126,4738879.368,16,395.515137
493877.5932,4737478.331,18,508.199188
489554.4767,4742085.716,75,422.103943
492681.6195,4738682.478,107,526.467285
502637.2939,4720745.679,90,401.378143
498032.1246,4719264.908,58,451.493713
503098.0668,4719058.661,16,379.819794
493591.0519,4724902.95,0,559.540833
496785.886,4723580.566,40,430.424438
495121.3277,4716373.115,70,372.030396
496803.1994,4721634.245,84,527.01593
502813.0519,4719749.461,120,401.357849
494179.3278,4720766.127,190,487.071106
502910.1922,4721652.626,13,382.983154
498156.8451,4725723.792,20,474.837524
496087.308,4720033.767,24,439.112396
502569.1636,4726374.854,150,389.207886
488198.995,4707294.652,170,457.556732
491856.8947,4711419.464,23,473.362274
493745.4907,4709366.362,103,349.368011
485614.5459,4710979.245,54,485.812256
491172.5781,4709464.767,175,430.428375
485768.9126,4709516.902,12,521.788574
492893.6135,4706110.032,88,445.489655
491790.6651,4711336.262,23,462.429169
488158.1083,4711424.778,132,453.585236
490570.6383,4704595.259,15,358.100677
509834.2243,4713904.628,51,487.61908
505368.2815,4705368.218,17,378.836639
515465.8935,4709306.708,256,584.229065
509794.8559,4709484.567,30,390.200317
515520.5157,4709362.35,213,585.230042
515602.4266,4709455.066,42,585.801147
509875.3267,4713855.335,22,499.750519
508461.348,4710627.142,20,462.431641
514453.179,4715843.574,70,408.368744
510541.7879,4710306.118,30,512.42749
509183.6929,4709369.61,60,376.289246
515299.6923,4732899.661,145,548.71051
507272.0864,4718158.029,32,432.346008
506055.5356,4715550.49,38,355.410461
507226.8574,4724391.728,170,462.267822
507484.9589,4725665.902,40,410.63443
511579.8653,4733281.078,35,471.687531
510225.2765,4736184.59,30,398.540558
510639.6367,4732708.924,28,501.3349
508436.0597,4727653.422,64,420.066925
515835.4622,4731238.295,7,574.644714
512864.5063,4734353.691,92,498.205566
507537.0127,4728019.442,34,497.651581
509016.9362,4721842.948,33,391.577179
511419.186,4723197.498,58,401.643738
508828.4507,4719658.89,36,380.572937
504160.9573,4709105.703,102,376.646942
501478.1051,4710177.996,49,391.664276
500383.0898,4714452.881,136,492.114594
501107.8058,4715267.254,43,496.027313
500301.4559,4704644.406,78,477.946991
501025.7889,4715054.414,78,490.844574
499795.0332,4715322.689,12,518.712524
506676.7104,4711846.638,4,563.57312
496497.6866,4711825.808,30,496.264221
497891.9655,4715270.57,57,494.421509
501712.7006,4702220.276,68,389.660614
500292.3229,4704709.178,148,480.652313
500595.6597,4707596.204,60,369.437683
499619.29,4710720.709,158,487.294586
500714.4139,4706532.093,87,362.39563
503734.3789,4713361.98,10,385.649139
481135.7303,4709364.443,19,440.032471
471582.4368,4711586.88,97,350.220612
478352.6607,4710785.226,15,454.205902
477503.4676,4710538.079,90,427.913055
472448.7424,4710374.276,70,530.838501
471077.735,4711410.06,34,331.825226
485425.7544,4712302.867,117,511.065643
471618.0379,4709692.86,70,512.138672
482500.2128,4711334.926,69,365.556488
479074.0118,4711766.963,39,435.533173
481311.1571,4709283.774,20,435.027985
475310.1944,4710113.691,29,411.149597
482667.8937,4712734.85,12,395.043884
474787.0776,4707373.478,61,487.464844
479441.5139,4710350.099,112,350.609344
483311.9981,4713214.45,128,356.518707
478894.0849,4713340.586,6,432.589905
468890.9645,4708390.525,56,334.079926
475537.7586,4714502.102,136,538.091553
480991.3238,4715780.522,70,425.409729
478896.1025,4713254.215,9,432.862823
476053.32,4713960.521,10,537.687073
483995.0458,4720732.803,80,487.63382
493188.4732,4715899.735,10,452.861053
489478.6661,4719087.539,26,515.806702
485934.2641,4714578.149,20,490.749817
488536.4391,4720958.229,34,525.071472
493462.1717,4723391.666,18,552.135376
487009.5355,4715482.888,100,497.557159
491920.0558,4720620.337,90,436.846558
483871.9635,4718728.168,4,414.570679
490669.4692,4701689.622,131,335.410217
490444.1934,4703938.453,55,346.424683
498007.4061,4704530.562,22,460.219482
497658.4603,4705418.978,4,501.370087
495941.0694,4703593.802,27,412.5755
491363.0697,4697506.307,19,360.098663
493159.8139,4698300.085,34,385.922821
500274.2194,4700702.553,129,358.99118
494110.8922,4704480.33,34,515.202148
495918.5306,4704090.403,60,412.465393
485054.3114,4692156.324,10,345.384094
483558.0069,4695706.703,56,452.488098
484619.5001,4692003.048,60,327.255951
485114.0141,4702994.715,10,465.165497
483858.6512,4701183.876,39,501.994202
477069.5404,4731705.457,16,423.015839
489128.7946,4696297.269,62,332.155884
482012.9546,4701907.057,20,483.408691
487976.4977,4697344.759,41,348.113007
488324.5402,4700508.745,55,426.658234
488061.0827,4696030.672,460,326.379303
482834.2778,4703459.532,18,512.526917
481805.3053,4695828.252,102,462.847107
508024.7322,4735092.832,20,411.001892
495721.4483,4732415.195,36,541.991211
503205.5353,4732923.562,138,505.845856
498572.2296,4731578.109,50,398.096954
502916.9442,4738016.029,50,463.578278
499541.3138,4738505.873,49,394.656982
506642.7225,4730637.286,145,367.830292
506445.9439,4731932.604,17,451.999115
505378.5921,4733230.282,18,503.96817
508180.6977,4735805.547,20,372.333038
507929.768,4734670.139,28,388.170593
508128.3749,4735854.839,20,382.279877
478027.6129,4714734.372,17,520.007935
479311.2242,4720202.322,52,501.279785
478254.5401,4714412.872,41,507.184906
480454.7121,4718644.417,80,480.414001
478788.9404,4714744.344,64,448.231781
475347.316,4719283.755,60,362.617157
480186.2092,4721143.626,93,428.118683
488141.4793,4740265.012,98,400.952667
485744.1906,4742845.19,15,525.798767
481884.4988,4739174.333,59,444.165924
496025.2313,4746671.905,66,467.383759
501348.5795,4742768.874,80,427.828461
497600.909,4743423.093,196,461.003571
496079.684,4746674.958,40,463.403595
499019.2503,4741158.66,38,395.582886
518356.1393,4733354.368,30,412.892395
519064.7853,4729448.155,20,392.755585
518453.6063,4733459.503,60,391.928772
525467.5835,4733130.161,48,496.820251
524677.0391,4730425.204,60,566.372437
518377.6888,4732089.755,20,384.653046
517206.2596,4708428.643,185,585.330688
506240.4895,4740384.102,156,446.419159
512126.0139,4741999.015,190,457.258453
511375.9809,4745242.734,51,434.199097
515651.9076,4742977.774,23,413.254669
511709.929,4742359.192,92,422.687927
505527.757,4739985.583,140,494.903503
472507.6167,4689387.581,100,519.368958
475947.64,4687882.09,33,322.870026
474901.0286,4686982.043,50,388.116028
469705.5834,4685762.656,57,304.714203
470517.699,4692726.822,35,519.941772
476960.9591,4688480.134,110,315.26355
471622.4274,4685464.705,41,317.220642
478837.8058,4696286.928,43,411.317505
478359.6418,4690946.247,97,322.1651
473119.4545,4686078.763,60,328.445892
472345.9277,4694202.952,98,531.426697
470982.2227,4694464.484,25,551.360901
482274.4982,4745092.677,145,357.163452
511477.2049,4718401.214,9,628.110535
520112.1723,4725148.189,98,588.68927
515814.2936,4724578.743,150,586.4599
511838.5542,4718910.76,4,615.537048
519606.5217,4721266.415,20,591.554077
516417.8957,4723432.708,90,535.269714
517188.9997,4723681.339,2,568.657654
517175.6334,4725399.383,2,599.684998
516912.0021,4722453.022,80,472.701691
523090.0217,4715968.706,90,422.01004
527296.5269,4718392.97,11,490.955444
524943.592,4710028.229,34,473.778381
526369.8386,4720653.426,62,494.463135
520384.9287,4707413.189,40,420.378357
526545.2639,4717063.715,18,659.746582
524048.4161,4711656.762,11,567.25824
524880.9512,4705854.73,16,627.528992
533032.2793,4714701.036,105,642.805115
530970.7088,4711856.877,3,655.453674
526907.3326,4708875.783,3,643.521912
527154.9218,4712655.235,18,540.507507
527511.6779,4708924.412,2,602.053833
