Elevation,RockDepthI
609.8764648,25
493.3024292,25
492.6705017,25
586.4664307,26
307.1348572,26
280.3876343,26
415.4014893,28
415.9736328,28
605.935791,28
606.9327393,28
605.4143066,28
274.3499756,30
428.4988709,30
467.7212524,30
545.6555176,30
363.3507385,30
499.2670593,30
513.6271973,30
499.0538635,30
537.8291016,31
605.170166,32
372.8852844,34
482.8711853,34
510.0428467,34
524.8831787,35
321.247406,35
483.0393372,35
504.5379639,35
422.7823486,36
459.0159607,36
288.9952087,36
517.9567871,36
611.3651733,36
492.7119141,37
436.0393982,38
367.7779541,39
418.849762,40
433.8653259,40
293.8058472,40
492.1971741,40
549.203064,40
423.2552185,42
508.5088501,42
496.6373901,43
278.1047974,43
408.2260132,43
478.2029724,45
471.0157166,45
368.7342834,46
498.6653442,46
266.0826416,47
357.4176636,48
448.2533264,48
445.4679871,49
522.8838501,49
280.328186,50
460.07547,50
515.6046753,50
495.5814819,50
540.2040405,50
496.1043701,51
283.7287903,51
313.4547119,51
488.052002,52
356.629303,55
448.4701843,56
466.3014526,57
467.5606079,57
451.1654968,59
326.7729492,60
293.8203125,60
370.7215881,60
380.6018066,60
367.6402893,60
540.3101807,60
460.7924805,60
505.9036255,61
417.1394348,62
471.8200378,62
267.1142273,62
499.7333069,63
471.1402283,65
462.6829834,68
505.0671692,68
431.1560669,69
412.9092712,69
293.1218872,69
301.5308228,70
412.8096924,70
578.3728638,70
332.7007141,70
405.1701355,70
358.2711182,70
530.65625,71
487.9215393,71
334.1086121,73
270.0280151,78
419.969696,79
329.8106995,80
461.5657043,80
349.340271,80
540.381958,80
311.1073303,80
517.5373535,80
310.103241,81
524.6530762,81
306.7199097,82
277.0726013,83
554.2958374,85
308.3032227,86
274.8699951,86
477.9700928,86
384.2069397,87
416.1145325,88
529.8100586,88
487.6264038,90
480.4682922,90
272.6205444,90
480.994751,91
451.7930603,95
523.4538574,96
417.3395386,98
278.7729797,100
551.8748779,100
553.4763184,102
481.0560608,103
289.3950806,104
441.3061829,105
486.7608337,106
370.4877625,108
346.8678894,108
444.4692993,110
439.3893127,110
405.4134216,110
446.3106995,110
348.821228,113
526.4100952,115
277.6939697,116
408.151123,117
441.2014465,120
461.7570496,120
392.4215088,121
462.360321,122
514.0546875,122
464.4318542,122
350.0483093,125
314.4685059,125
318.8416138,127
431.5469055,130
488.3233643,140
310.7713928,141
385.7695313,142
339.9380798,146
449.7170105,150
449.3651733,150
476.782135,150
448.2341003,152
487.1333008,153
466.245697,158
460.8888855,160
442.459137,160
509.959259,160
432.6373596,160
363.9078674,167
446.4412842,168
426.9891663,170
387.8248901,170
363.3471375,173
371.3396606,178
506.744812,180
437.8908081,182
438.4575195,189
376.7658081,190
506.4258728,192
356.8455505,196
398.7467651,200
493.2854309,200
451.1013489,202
506.6329346,205
434.8488159,208
430.7705078,209
479.1709595,214
532.8552246,225
491.6268921,230
486.7943115,236
461.894928,237
433.7548218,260
526.6697998,277
504.6698608,278
506.5434875,288
