Lat,Lon,Depth,Elevation
-75.26413693,42.31718593,14,561.011292
-75.30588692,42.27582483,14,566.073425
-75.405498,42.30168594,22,310.639069
-75.2123314,42.2518526,57,650.155396
-75.04599807,42.91435248,10,476.184326
-75.01616475,42.92382469,77,474.820831
-74.99613698,42.87851915,3,455.297028
-75.01899808,42.92549136,78,475.484619
-75.00566475,42.90165803,0,459.604034
-75.17708136,42.95782469,42,398.136505
-74.78397038,42.87013025,21,449.823761
-74.97794254,42.86960248,80,416.377289
-74.95869255,42.87729692,28,444.708984
-74.89933146,42.8433247,97,440.040131
-74.931387,42.90665803,85,457.261658
-75.13669249,42.92346359,45,402.680206
-75.14266471,42.88824137,25,379.118835
-75.31930355,42.75413029,7,419.856018
-75.25394245,42.83390805,30,372.023224
-75.32977576,42.82507472,39,464.300873
-75.29805355,42.77971362,4,470.24762
-75.27102578,42.84674138,140,451.062347
-75.28302578,42.77613029,18,413.682739
-75.37616464,42.82840806,20,485.997711
-75.31083133,42.79360251,12,518.436157
-75.274998,42.80888028,12,489.082428
-75.28638689,42.77304695,10,422.76181
-75.28263689,42.77735251,13,411.827026
-75.28208133,42.93265804,50,463.433594
-75.247498,42.93249137,56,389.146271
-75.26138689,42.89138027,132,446.056396
-75.1088314,42.74665806,35,495.133942
-75.16799804,42.7609914,30,395.571686
-75.19910914,42.76854695,5,511.628845
-75.12391473,42.7234914,72,465.975739
-75.1449425,42.73765807,133,515.024536
-75.19380359,42.70179696,75,380.943115
-75.20010915,42.66565808,184,533.419189
-75.14580361,42.73629696,57,499.914764
-75.27516469,42.48349145,48,410.223877
-75.35988689,42.4614359,25,418.160339
-75.36191467,42.48085257,7,504.238708
-75.31772023,42.50421367,14,456.400269
-75.34291467,42.518547,197,497.834076
-75.25599803,42.49082478,20,410.473907
-75.26299803,42.45265812,15,548.180725
-75.23738693,42.46004701,75,571.812744
-74.74449818,42.79329693,43,434.614136
-74.73360929,42.77443582,33,506.848175
-74.7322204,42.77218582,28,513.584961
-74.7304704,42.77865804,28,525.046936
-74.7283593,42.77626915,140,524.018005
-74.93305367,42.75524139,5,540.680115
-74.71266487,42.63496362,28,640.255554
-74.70788709,42.66315806,27,590.406677
-75.29566467,42.68232475,151,482.283569
-75.23897024,42.73207474,135,443.871948
-75.20983137,42.71882474,36,464.628723
-75.2397758,42.66921364,1,456.017914
-75.2026647,42.77301917,58,507.338654
-75.2756369,42.66585253,24,368.12738
-75.29002579,42.69354697,60,490.566193
-75.25591468,42.70026919,10,451.391449
-75.25155357,42.70932474,47,409.635986
-75.11535917,42.80249139,3,554.244141
-75.02391475,42.80246361,16,395.515137
-75.07485918,42.78982472,18,508.199188
-75.12780361,42.83126916,75,422.103943
-75.08949807,42.80065805,107,526.467285
-74.96783145,42.63915808,90,401.378143
-75.0239981,42.62582475,58,451.493713
-74.96222034,42.62396364,16,379.819794
-75.0782203,42.67657474,0,559.540833
-75.03922031,42.66468585,40,430.424438
-75.05947031,42.5997692,70,372.030396
-75.03899809,42.64715808,84,527.01593
-74.96569256,42.63018586,120,401.357849
-75.07099808,42.63932475,190,487.071106
-74.96449812,42.64732474,13,382.983154
-75.0224981,42.6839914,20,474.837524
-75.04772031,42.63274142,24,439.112396
-74.968637,42.68985251,150,389.207886
-75.14366473,42.51793589,170,457.556732
-75.09919252,42.55513032,23,473.362274
-75.07616476,42.5366581,103,349.368011
-75.17522028,42.55107477,54,485.812256
-75.10749808,42.53751921,175,430.428375
-75.17330361,42.5379081,12,521.788574
-75.08649809,42.50732477,88,445.489655
-75.09999808,42.55438032,23,462.429169
-75.14424806,42.55513032,132,453.585236
-75.11474808,42.49365811,15,358.100677
-74.88016482,42.57749142,51,487.61908
-74.9346648,42.5006581,17,378.836639
-74.81166484,42.53599142,256,584.229065
-74.88072037,42.53768587,30,390.200317
-74.81099817,42.53649142,213,585.230042
-74.80999817,42.53732476,42,585.801147
-74.87966482,42.57704698,22,499.750519
-74.89694259,42.54799143,20,462.431641
-74.8238315,42.5948803,70,408.368744
-74.87160926,42.54507476,30,512.42749
-74.88816482,42.53665809,60,376.289246
-74.81305371,42.74846361,145,548.71051
-74.91133147,42.61582475,32,432.346008
-74.92619258,42.59235253,38,355.410461
-74.91180369,42.67196363,170,462.267822
-74.90863702,42.68343585,40,410.63443
-74.85849814,42.75196361,35,471.687531
-74.87499814,42.77813027,30,398.540558
-74.86999814,42.74682472,28,501.3349
-74.89699814,42.70132473,64,420.066925
-74.80655372,42.73349139,7,574.644714
-74.84277593,42.76160249,92,498.205566
-74.90797035,42.70463029,34,497.651581
