X,Y,Depth
447080.2322,4664500.093,48
443500.6822,4663901.699,6
452625.4383,4664250.962,85
441775.3483,4676836.551,90
455493.7699,4665089.743,40
450221.68,4664918.306,100
443455.1931,4668537.967,6
441542.9429,4672310.448,7
450962.2216,4663454.216,110
450704.7848,4663745.939,230
452645.7113,4665219.315,30
438188.7701,4669300.862,35
448753.881,4665123.128,180
438188.7701,4669300.862,45
443421.2461,4668596.844,3
429145.8716,4656443.23,155
427804.1331,4656512.313,4
428720.0965,4656620.239,111
430114.2412,4651612.545,155
434223.0204,4651425.169,90
430608.8459,4657014.789,48
429784.1529,4655671.912,120
435998.935,4650927.742,60
427266.312,4656295.734,49
428996.7188,4656469.401,97
430764.9928,4656294.571,180
431738.4761,4655695.979,90
429238.2355,4659471.302,40
430542.3925,4654223.975,120
429715.93,4659679.368,130
431872.3591,4654797.105,10
432176.4338,4652456.16,5
433178.8258,4653877.824,70
430182.3003,4651516.256,50
433065.6071,4653820.288,85
430482.3184,4659341.748,65
431286.8493,4658902.053,36
431856.8602,4651990.388,50
433695.942,4653357.86,80
429364.3903,4656687.807,34
431910.9098,4656175.497,90
430444.353,4657583.952,6
435526.2376,4651311.409,75
466696.2257,4650892.869,70
427467.7983,4665170.995,15
437950.6623,4672223.976,33
432519.0676,4670487.978,10
432064.9002,4668114.157,50
434143.3853,4669025.963,40
437667.4459,4673910.622,30
432881.6142,4667122.371,60
428681.3114,4667342.498,176
438732.6097,4671945.693,92
427163.0042,4666337.019,55
437672.3856,4676279.493,15
430690.046,4667624.757,92
430926.471,4666925.329,4
437584.5391,4676712.107,25
438577.9746,4673412.18,15
434307.9781,4675597.583,13
435460.3562,4672770.731,90
428396.45,4667542.797,10
431318.3812,4668750.638,62
432369.8311,4669758.371,58
436312.2353,4676180.636,96
431739.486,4668635.504,30
428369.2563,4667577.003,10
435700.0771,4675914.766,30
431914.8197,4669682.554,8
432554.8318,4666551.765,12
431686.6611,4666498.429,12
436885.0183,4652008.596,18
432465.2908,4666549.538,5
432954.482,4665129.076,20
433276.9205,4659888.537,38
431653.2869,4663762.775,80
430102.9534,4664657.046,120
435465.4738,4655497.542,15
428310.5616,4664058.111,80
434204.484,4663519.54,42
433381.4642,4659767.256,38
434942.8796,4664653.961,90
433082.6298,4664116.14,14
436421.2003,4654403.173,136
435091.577,4665843.208,70
433461.9382,4665867.642,55
413730.2886,4692730.819,17
410692.9133,4684822.294,23
409157.6799,4692147.035,17
416317.7444,4693754.405,62
415619.269,4689684.651,47
418117.4459,4689068.886,130
416063.9294,4694707.576,32
418131.5892,4689300.08,140
